Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-04-09 15:08:34,0.72,True,False,"(0.36, 0.69, -8.96)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-09 15:08:35,1.72,True,False,"(2.12, 0.98, -10.58)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-09 15:08:36,2.72,True,False,"(1.49, 1.10, -9.19)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-09 15:08:37,3.72,True,False,"(1.54, 0.89, -10.58)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-09 15:08:38,4.72,True,False,"(1.84, 0.53, -10.58)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-09 15:08:39,5.72,True,False,"(1.38, 1.31, -10.58)",Blue,"(0.08, 0.08, 0.08)",1,0
2025-04-09 15:08:40,6.72,True,False,"(1.48, 1.07, -9.19)",Blue,"(0.08, 0.08, 0.08)",1,0
2025-04-09 15:08:41,7.73,True,False,"(1.62, 1.04, -9.31)",Blue,"(0.08, 0.08, 0.08)",1,0
2025-04-09 15:08:42,8.73,True,False,"(1.13, 1.01, -10.58)",Blue,"(0.08, 0.08, 0.08)",1,0
2025-04-09 15:08:43,9.75,True,False,"(1.26, 0.87, -10.58)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-09 15:08:44,10.76,True,False,"(1.55, 0.65, -10.58)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-09 15:08:45,11.78,True,False,"(0.95, 1.01, -10.58)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-09 15:08:46,12.79,True,False,"(1.31, 1.67, -10.58)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-09 15:08:47,13.80,True,False,"(1.04, 1.05, -9.46)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-09 15:08:48,14.82,True,False,"(1.53, 1.03, -8.88)",Blue,"(0.08, 0.08, 0.08)",2,0
2025-04-09 15:08:49,15.83,True,False,"(-1.62, 1.85, -9.59)",Blue,"(0.08, 0.08, 0.08)",2,0
2025-04-09 15:08:50,16.83,True,False,"(-1.16, 1.15, -8.65)",Blue,"(0.08, 0.08, 0.08)",2,0
2025-04-09 15:08:51,17.84,True,False,"(-0.15, 1.11, -9.34)",Blue,"(0.08, 0.08, 0.08)",2,0
2025-04-09 15:08:52,18.84,True,False,"(0.91, 1.07, -9.24)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-04-09 15:08:53,19.86,True,False,"(0.92, 1.08, -9.24)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-04-09 15:08:54,20.87,True,False,"(0.95, 1.07, -9.09)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-04-09 15:08:55,21.89,True,False,"(-1.62, 1.82, -9.59)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-04-09 15:08:56,22.90,True,False,"(-1.62, 1.69, -10.04)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-04-09 15:08:57,23.91,True,False,"(-1.13, 1.20, -8.79)",Blue,"(0.08, 0.08, 0.08)",3,0
2025-04-09 15:08:58,24.93,True,False,"(-1.30, 0.88, -8.99)",Blue,"(0.08, 0.08, 0.08)",3,0
2025-04-09 15:08:59,25.94,True,False,"(-1.62, 0.90, -9.48)",Blue,"(0.08, 0.08, 0.08)",3,0
2025-04-09 15:09:00,26.94,True,False,"(-1.42, 1.77, -8.85)",Blue,"(0.08, 0.08, 0.08)",3,0
2025-04-09 15:09:01,27.95,True,False,"(-1.34, 0.91, -8.47)",Yellow,"(0.05, 0.05, 0.05)",3,0
2025-04-09 15:09:02,28.97,True,False,"(0.19, 1.08, -9.27)",Yellow,"(0.05, 0.05, 0.05)",3,0
2025-04-09 15:09:03,29.98,True,False,"(-0.15, 1.04, -9.39)",Yellow,"(0.05, 0.05, 0.05)",3,0
2025-04-09 15:09:04,30.98,True,False,"(-0.90, 1.10, -8.33)",Yellow,"(0.05, 0.05, 0.05)",3,0
2025-04-09 15:09:05,31.98,True,False,"(-0.89, 1.02, -8.37)",Yellow,"(0.05, 0.05, 0.05)",3,0
2025-04-09 15:09:07,32.99,True,False,"(-0.89, 1.00, -8.41)",Blue,"(0.08, 0.08, 0.08)",4,0
2025-04-09 15:09:08,34.01,True,False,"(-0.88, 0.99, -8.20)",Blue,"(0.08, 0.08, 0.08)",4,0
2025-04-09 15:09:09,35.01,True,False,"(-1.08, 1.54, -8.72)",Blue,"(0.08, 0.08, 0.08)",4,0
2025-04-09 15:09:10,36.02,True,False,"(-1.62, 1.40, -8.23)",Blue,"(0.08, 0.08, 0.08)",4,0
2025-04-09 15:09:11,37.03,True,False,"(-1.10, 0.83, -8.17)",Yellow,"(0.05, 0.05, 0.05)",4,0
2025-04-09 15:09:12,38.03,True,False,"(-1.12, 0.88, -7.81)",Yellow,"(0.05, 0.05, 0.05)",4,0
2025-04-09 15:09:13,39.03,True,False,"(-1.07, 1.55, -8.61)",Yellow,"(0.05, 0.05, 0.05)",4,0
2025-04-09 15:09:14,40.05,True,False,"(-1.14, 1.65, -8.16)",Yellow,"(0.05, 0.05, 0.05)",4,0
2025-04-09 15:09:15,41.06,True,False,"(-1.21, 1.06, -8.60)",Blue,"(0.08, 0.08, 0.08)",5,0
2025-04-09 15:09:16,42.08,True,False,"(-0.24, 1.05, -9.23)",Blue,"(0.08, 0.08, 0.08)",5,0
2025-04-09 15:09:17,43.08,True,False,"(-0.05, 1.04, -9.06)",Blue,"(0.08, 0.08, 0.08)",5,0
2025-04-09 15:09:18,44.09,True,False,"(-1.26, 1.57, -8.76)",Blue,"(0.08, 0.08, 0.08)",5,0
2025-04-09 15:09:19,45.09,True,False,"(1.53, 1.17, -9.19)",Yellow,"(0.05, 0.05, 0.05)",5,0
2025-04-09 15:09:20,46.10,True,False,"(1.49, 1.10, -9.19)",Yellow,"(0.05, 0.05, 0.05)",5,0
2025-04-09 15:09:21,47.10,True,False,"(-1.62, 1.42, -8.80)",Yellow,"(0.05, 0.05, 0.05)",5,0
2025-04-09 15:09:22,48.12,True,False,"(-1.07, 1.32, -10.58)",Yellow,"(0.05, 0.05, 0.05)",5,0
2025-04-09 15:09:23,49.13,True,False,"(-1.13, 1.08, -8.73)",Yellow,"(0.05, 0.05, 0.05)",5,0
2025-04-09 15:09:24,50.13,True,False,"(-1.62, 0.94, -9.45)",Blue,"(0.08, 0.08, 0.08)",6,0
2025-04-09 15:09:25,51.13,True,False,"(-1.62, 0.91, -9.46)",Blue,"(0.08, 0.08, 0.08)",6,0
2025-04-09 15:09:26,52.14,True,False,"(-1.04, 1.82, -8.74)",Blue,"(0.08, 0.08, 0.08)",6,0
2025-04-09 15:09:27,53.16,True,False,"(-1.01, 1.02, -8.16)",Blue,"(0.08, 0.08, 0.08)",6,0
2025-04-09 15:09:28,54.17,True,False,"(-1.62, 1.19, -8.29)",Yellow,"(0.05, 0.05, 0.05)",6,0
2025-04-09 15:09:29,55.19,True,False,"(-1.28, 1.35, -8.85)",Yellow,"(0.05, 0.05, 0.05)",6,0
2025-04-09 15:09:30,56.19,True,False,"(3.04, 1.67, -10.58)",Yellow,"(0.05, 0.05, 0.05)",6,0
2025-04-09 15:09:31,57.08,True,False,"(3.75, 2.86, -10.53)",Yellow,"(0.05, 0.05, 0.05)",6,0
2025-04-09 15:09:32,57.31,False,False,"None",Yellow,"(0.05, 0.05, 0.05)",6,0
2025-04-09 15:09:33,57.63,True,False,"(3.23, 2.75, -10.58)",Yellow,"(0.05, 0.05, 0.05)",6,0
