Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,BlueTriggerCount,BallToggleCount
2025-04-30 19:36:01,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:02,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:03,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:04,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:05,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:06,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:07,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:08,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:09,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:10,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:11,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:12,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:13,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:14,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:15,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:16,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:17,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:18,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:19,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:20,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:21,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:22,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:23,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:24,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:25,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:26,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:27,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:28,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:29,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:30,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:31,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:32,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:33,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:34,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:35,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:36,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:37,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:38,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:39,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:40,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:41,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:42,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:43,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:44,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:45,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:46,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:47,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:48,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:49,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:50,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:51,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-30 19:36:52,0.00,False,False,"None","(0.00, 0.00, 1.00)","(-3.79, -0.03, -0.97)","(-3.79, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",0,0
