Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,BlueTriggerCount,BallToggleCount
2025-05-04 15:11:03,0.82,True,False,"(-2.06, 2.30, -4.26)","(0.58, 0.13, -0.80)","(-4.66, 1.56, -0.62)","(-4.72, 1.56, -0.66)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-04 15:11:04,1.82,True,False,"(-4.04, 1.61, -4.23)","(0.05, -0.03, -1.00)","(-4.66, 1.55, -0.65)","(-4.72, 1.56, -0.67)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-04 15:11:05,2.83,True,False,"(-5.54, 0.92, -4.14)","(-0.20, -0.34, -0.92)","(-4.71, 1.55, -0.66)","(-4.77, 1.55, -0.66)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-04 15:11:06,3.83,True,False,"(-5.68, 2.22, -4.24)","(-0.25, 0.25, -0.94)","(-4.70, 1.55, -0.64)","(-4.77, 1.56, -0.64)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-04 15:11:07,4.78,True,False,"(-1.37, 1.96, -4.22)","(0.69, 0.04, -0.72)","(-4.60, 1.56, -0.72)","(-4.65, 1.56, -0.75)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-04 15:11:08,5.78,True,False,"(-8.68, 2.51, -2.74)","(-0.93, 0.19, -0.31)","(-4.61, 1.58, -0.82)","(-4.65, 1.59, -0.77)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-04 15:11:09,6.78,True,False,"(-8.15, 2.36, -4.26)","(-0.70, 0.16, -0.70)","(-4.76, 1.58, -0.75)","(-4.80, 1.58, -0.70)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-04 15:11:10,7.79,True,False,"(-6.36, 1.94, 1.10)","(-0.56, 0.17, 0.81)","(-4.74, 1.58, -0.94)","(-4.69, 1.58, -0.89)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-04 15:11:11,8.79,True,False,"(-6.71, 0.47, 1.06)","(-0.73, -0.17, 0.66)","(-4.71, 1.58, -0.97)","(-4.66, 1.58, -0.92)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-04 15:11:12,9.80,True,False,"(-8.59, 2.20, -2.94)","(-0.65, 0.04, -0.76)","(-4.79, 1.56, -1.08)","(-4.82, 1.57, -1.03)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-04 15:11:13,10.80,True,False,"(-4.94, 1.34, -4.01)","(-0.01, -0.05, -1.00)","(-4.87, 1.57, -1.16)","(-4.93, 1.58, -1.16)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-04 15:11:14,11.81,True,False,"(-6.73, 1.09, -4.25)","(-0.48, -0.11, -0.87)","(-4.88, 1.57, -1.32)","(-4.94, 1.58, -1.29)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-04 15:11:15,12.81,True,False,"(-6.95, 2.40, -4.18)","(-0.44, 0.24, -0.87)","(-4.93, 1.58, -1.33)","(-4.99, 1.59, -1.30)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-04 15:11:16,13.81,True,False,"(-7.65, 2.17, -4.07)","(-0.67, 0.16, -0.73)","(-4.91, 1.59, -1.34)","(-4.97, 1.59, -1.32)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-04 15:11:17,14.82,True,False,"(-6.32, 2.88, -4.24)","(-0.41, 0.38, -0.83)","(-4.90, 1.59, -1.33)","(-4.96, 1.59, -1.30)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-04 15:11:18,15.32,True,False,"(-5.94, 2.80, -3.98)","(-0.36, 0.38, -0.86)","(-4.90, 1.59, -1.32)","(-4.96, 1.59, -1.29)",Yellow,"(0.05, 0.05, 0.05)",1,0
