Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,BlueTriggerCount,BallToggleCount
2025-04-17 19:33:18,0.50,True,False,"(-5.29, 1.76, -4.26)","(-0.12, 0.08, -0.99)","(-4.95, 1.58, -1.60)","(-5.01, 1.59, -1.59)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-17 19:33:19,1.50,True,False,"(-5.23, 1.37, -4.04)","(-0.01, -0.16, -0.99)","(-5.02, 1.58, -1.58)","(-5.08, 1.58, -1.58)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-17 19:33:20,2.51,True,False,"(-4.66, 0.81, -4.05)","(0.26, -0.26, -0.93)","(-5.02, 1.56, -1.56)","(-5.08, 1.56, -1.57)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-17 19:33:21,3.51,True,False,"(-3.82, 0.75, -4.00)","(0.41, -0.28, -0.87)","(-4.94, 1.56, -1.53)","(-5.00, 1.56, -1.56)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-17 19:33:22,4.51,True,False,"(-4.91, 1.10, -4.01)","(-0.06, -0.16, -0.98)","(-4.89, 1.56, -1.63)","(-4.95, 1.56, -1.64)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-04-17 19:33:23,5.51,True,False,"(-4.91, 1.44, -2.11)","(-0.01, -0.23, -0.97)","(-4.88, 1.57, -1.60)","(-4.94, 1.57, -1.60)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-04-17 19:33:24,6.52,True,False,"(-5.35, 1.43, -4.00)","(-0.20, -0.06, -0.98)","(-4.88, 1.57, -1.58)","(-4.95, 1.57, -1.57)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-04-17 19:33:25,7.52,True,False,"(-5.34, 2.46, -4.13)","(-0.16, 0.32, -0.93)","(-4.90, 1.60, -1.57)","(-4.96, 1.60, -1.57)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-04-17 19:33:26,8.52,True,False,"(-5.77, 2.53, -4.26)","(-0.27, 0.30, -0.92)","(-4.91, 1.60, -1.56)","(-4.98, 1.60, -1.55)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-04-17 19:33:27,9.52,True,False,"(-5.76, 2.50, -3.94)","(-0.28, 0.35, -0.89)","(-4.94, 1.60, -1.56)","(-5.00, 1.60, -1.55)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-17 19:33:28,10.53,True,False,"(-5.98, 2.46, -4.26)","(-0.29, 0.27, -0.92)","(-4.94, 1.60, -1.56)","(-5.01, 1.60, -1.55)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-17 19:33:29,11.53,True,False,"(-5.39, 2.52, -4.21)","(-0.12, 0.29, -0.95)","(-4.93, 1.59, -1.55)","(-4.99, 1.59, -1.55)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-17 19:33:30,12.53,True,False,"(-4.95, 1.58, -1.83)","(0.03, -0.05, -1.00)","(-4.92, 1.58, -1.57)","(-4.99, 1.58, -1.57)",Yellow,"(0.05, 0.05, 0.05)",1,0
