Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,BlueTriggerCount,BallToggleCount
2025-05-13 11:36:22,0.83,True,False,"(-4.48, 1.99, -4.06)","(0.10, 0.06, -0.99)","(-5.02, 1.74, -0.21)","(-5.09, 1.75, -0.22)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-13 11:36:23,1.85,True,False,"(-5.07, 1.86, -4.19)","(-0.12, 0.10, -0.99)","(-5.04, 1.75, -0.22)","(-5.11, 1.76, -0.21)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-13 11:36:24,2.86,True,False,"(-8.76, 1.40, -3.76)","(-0.75, -0.11, -0.65)","(-5.11, 1.74, -0.22)","(-5.16, 1.74, -0.17)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-13 11:36:25,3.88,True,False,"(-8.67, 0.93, -4.26)","(-0.65, -0.15, -0.75)","(-5.10, 1.74, -0.22)","(-5.15, 1.74, -0.18)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-13 11:36:26,4.89,True,False,"(-7.62, 1.48, -4.12)","(-0.46, -0.09, -0.88)","(-5.08, 1.75, -0.21)","(-5.14, 1.75, -0.19)",Yellow,"(0.05, 0.05, 0.05)",0,0
2025-05-13 11:36:27,5.91,True,False,"(-4.47, 1.05, -2.16)","(0.43, -0.32, -0.84)","(-5.02, 1.72, -0.20)","(-5.08, 1.73, -0.22)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-13 11:36:28,6.92,True,False,"(-3.13, 1.15, -4.21)","(0.42, -0.11, -0.90)","(-5.01, 1.74, -0.19)","(-5.07, 1.74, -0.22)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-13 11:36:29,7.93,True,False,"(-4.47, 1.26, -4.08)","(0.26, -0.13, -0.96)","(-5.04, 1.74, -0.22)","(-5.11, 1.74, -0.23)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-13 11:36:30,8.94,True,False,"(-4.40, 1.17, -0.98)","(0.53, -0.54, -0.66)","(-5.00, 1.72, -0.20)","(-5.05, 1.73, -0.24)",Blue,"(0.13, 0.13, 0.13)",1,0
