Timestamp,TotalGazeTime,BlueTriggerCount,BallToggleCount
2025-01-06 15:48:21,4.96,0,1
2025-01-06 15:48:21,5.00,1,1
2025-01-06 15:48:24,7.95,1,2
2025-01-06 15:48:30,14.01,2,2
2025-01-06 15:48:35,19.17,2,3
2025-01-06 15:48:39,23.02,3,3
2025-01-06 15:48:39,23.24,3,4
2025-01-06 15:48:47,30.72,3,5
2025-01-06 15:48:48,32.02,4,5
2025-01-06 15:48:57,41.03,5,5
2025-01-06 15:49:02,46.45,5,6
2025-01-06 15:49:06,50.04,6,6
2025-01-06 15:49:09,52.68,6,7
2025-01-06 15:49:12,55.98,6,8
2025-01-06 15:49:15,59.05,7,8
2025-01-06 15:49:20,63.85,7,9
2025-01-06 15:49:24,68.05,8,9
2025-01-06 15:49:25,68.90,8,10
2025-01-06 15:49:33,77.06,9,10
2025-01-06 15:49:33,77.17,9,11
2025-01-06 15:49:40,83.97,9,12
2025-01-06 15:49:42,86.07,10,12
2025-01-06 15:49:47,91.11,10,13
2025-01-06 15:49:51,95.08,11,13
2025-01-06 15:50:00,104.08,12,13
2025-01-06 15:50:03,106.56,12,14
2025-01-06 15:50:09,112.73,12,15
2025-01-06 15:50:09,113.09,13,15
2025-01-06 15:50:12,116.21,13,16
2025-01-06 15:50:16,119.94,13,17
2025-01-06 15:50:18,122.10,14,17
2025-01-06 15:50:22,126.32,14,18
2025-01-06 15:50:27,131.11,15,18
2025-01-06 15:50:30,134.35,15,19
2025-01-06 15:50:36,140.11,16,19
