Timestamp,FocusOBJ,HitPointX,HitPointY,HitPointZ,DidHit,GazeDuration,Cache
17:36:47.049,None,0,0,0,False,0,
17:36:47.184,None,0,0,0,False,0,
17:36:47.264,None,0,0,0,False,0,
17:36:47.271,None,0,0,0,False,0,
17:36:47.274,None,0,0,0,False,0,
17:36:47.279,None,0,0,0,False,0,
17:36:47.283,None,0,0,0,False,0,
17:36:47.287,None,0,0,0,False,0,
17:36:47.292,None,0,0,0,False,0,
17:36:47.297,None,0,0,0,False,0,
17:36:47.301,None,0,0,0,False,0,
17:36:47.305,None,0,0,0,False,0,
17:36:47.308,None,0,0,0,False,0,
17:36:47.312,None,0,0,0,False,0,
17:36:47.316,None,0,0,0,False,0,
17:36:47.321,None,0,0,0,False,0,
17:36:47.325,None,0,0,0,False,0,
17:36:47.329,None,0,0,0,False,0,
17:36:47.333,None,0,0,0,False,0,
17:36:47.337,None,0,0,0,False,0,
17:36:47.341,None,0,0,0,False,0,
17:36:47.346,None,0,0,0,False,0,
17:36:47.349,None,0,0,0,False,0,
17:36:47.353,None,0,0,0,False,0,
17:36:47.356,None,0,0,0,False,0,
17:36:47.360,None,0,0,0,False,0,
17:36:47.365,None,0,0,0,False,0,
17:36:47.368,None,0,0,0,False,0,
17:36:47.371,None,0,0,0,False,0,
17:36:47.376,None,0,0,0,False,0,
17:36:47.381,None,0,0,0,False,0,
17:36:47.384,None,0,0,0,False,0,
17:36:47.389,None,0,0,0,False,0,
17:36:47.392,None,0,0,0,False,0,
17:36:47.395,None,0,0,0,False,0,
17:36:47.401,None,0,0,0,False,0,
17:36:47.404,None,0,0,0,False,0,
17:36:47.408,None,0,0,0,False,0,
17:36:47.413,None,0,0,0,False,0,
17:36:47.417,None,0,0,0,False,0,
17:36:47.421,None,0,0,0,False,0,
17:36:47.427,None,0,0,0,False,0,
17:36:47.431,None,0,0,0,False,0,
17:36:47.434,None,0,0,0,False,0,
17:36:47.440,None,0,0,0,False,0,
17:36:47.444,None,0,0,0,False,0,
17:36:47.450,None,0,0,0,False,0,
17:36:47.458,None,0,0,0,False,0,
17:36:47.464,None,0,0,0,False,0,
17:36:47.467,None,0,0,0,False,0,
17:36:47.473,None,0,0,0,False,0,
17:36:47.477,None,0,0,0,False,0,
17:36:47.483,None,0,0,0,False,0,
17:36:47.489,None,0,0,0,False,0,
17:36:47.493,None,0,0,0,False,0,
17:36:47.498,None,0,0,0,False,0,
17:36:47.502,None,0,0,0,False,0,
17:36:47.507,None,0,0,0,False,0,
17:36:47.511,None,0,0,0,False,0,
17:36:47.514,None,0,0,0,False,0,
17:36:47.520,None,0,0,0,False,0,
17:36:47.524,None,0,0,0,False,0,
17:36:47.528,None,0,0,0,False,0,
17:36:47.533,None,0,0,0,False,0,
17:36:47.537,None,0,0,0,False,0,
17:36:47.543,None,0,0,0,False,0,
17:36:47.547,None,0,0,0,False,0,
17:36:47.551,None,0,0,0,False,0,
17:36:47.556,None,0,0,0,False,0,
17:36:47.561,None,0,0,0,False,0,
17:36:47.565,None,0,0,0,False,0,
17:36:47.569,None,0,0,0,False,0,
17:36:47.573,None,0,0,0,False,0,
17:36:47.579,None,0,0,0,False,0,
17:36:47.583,None,0,0,0,False,0,
17:36:47.587,None,0,0,0,False,0,
17:36:47.592,None,0,0,0,False,0,
17:36:47.595,None,0,0,0,False,0,
17:36:47.601,None,0,0,0,False,0,
17:36:47.605,None,0,0,0,False,0,
17:36:47.610,None,0,0,0,False,0,
17:36:47.613,None,0,0,0,False,0,
17:36:47.619,None,0,0,0,False,0,
17:36:47.623,None,0,0,0,False,0,
17:36:47.626,None,0,0,0,False,0,
17:36:47.631,None,0,0,0,False,0,
17:36:47.636,None,0,0,0,False,0,
17:36:47.641,None,0,0,0,False,0,
17:36:47.644,None,0,0,0,False,0,
17:36:47.649,None,0,0,0,False,0,
