Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-04-17 11:49:06,1.00,True,False,"(7.00, -0.03, 8.81)","(0.00, 0.00, 1.00)","(7.00, -0.03, -0.97)","(7.00, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-17 11:49:07,2.00,True,False,"(7.00, -0.03, 8.81)","(0.00, 0.00, 1.00)","(7.00, -0.03, -0.97)","(7.00, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-17 11:49:08,3.01,True,False,"(7.00, -0.03, 8.81)","(0.00, 0.00, 1.00)","(7.00, -0.03, -0.97)","(7.00, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-04-17 11:49:09,4.01,True,False,"(7.00, -0.03, 8.81)","(0.00, 0.00, 1.00)","(7.00, -0.03, -0.97)","(7.00, -0.03, -0.97)",Yellow,"(0.05, 0.05, 0.05)",1,0
