Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-05-13 11:26:53,0.80,True,False,"(-4.56, 1.39, -0.97)","(0.65, -0.40, -0.64)","(-5.17, 1.70, -0.46)","(-5.20, 1.71, -0.52)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:26:54,1.80,True,False,"(-3.96, 0.64, -2.42)","(0.37, -0.48, -0.79)","(-5.16, 1.70, -0.53)","(-5.22, 1.71, -0.57)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:26:55,2.81,True,False,"(-4.22, 0.60, -3.00)","(0.35, -0.38, -0.86)","(-5.16, 1.71, -0.55)","(-5.22, 1.72, -0.58)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:26:56,3.81,True,False,"(-0.03, 2.20, -0.38)","(0.98, 0.09, 0.20)","(-5.16, 1.75, -0.41)","(-5.14, 1.76, -0.47)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:26:57,4.81,True,False,"(-3.71, 2.17, 0.96)","(0.54, 0.19, 0.82)","(-5.14, 1.76, -0.53)","(-5.09, 1.77, -0.56)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:26:58,5.82,True,False,"(-3.92, 0.88, 0.75)","(0.60, -0.44, 0.67)","(-5.10, 1.72, -0.53)","(-5.05, 1.72, -0.57)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:26:59,6.82,True,False,"(-2.11, 0.81, 1.03)","(0.92, -0.19, 0.35)","(-5.09, 1.73, -0.49)","(-5.06, 1.74, -0.55)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:00,7.82,True,False,"(-4.12, 1.35, -1.23)","(0.63, -0.46, -0.63)","(-5.00, 1.72, -0.52)","(-5.04, 1.73, -0.57)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:01,8.82,True,False,"(-4.00, 0.91, -1.08)","(0.74, -0.57, -0.34)","(-5.00, 1.70, -0.54)","(-5.03, 1.70, -0.60)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:02,9.83,True,False,"(-0.10, 1.57, -1.11)","(0.99, 0.03, -0.11)","(-5.03, 1.74, -0.51)","(-5.04, 1.75, -0.58)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:03,10.83,True,False,"(-2.99, 0.76, -1.20)","(0.88, -0.38, -0.28)","(-5.07, 1.73, -0.52)","(-5.08, 1.73, -0.59)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:04,11.83,True,False,"(-0.07, 2.37, -2.13)","(0.95, 0.10, -0.31)","(-5.06, 1.74, -0.54)","(-5.08, 1.75, -0.60)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:05,12.83,True,False,"(-4.22, 1.32, -1.05)","(0.76, -0.44, -0.48)","(-5.04, 1.67, -0.56)","(-5.06, 1.68, -0.62)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:06,13.84,True,False,"(-1.91, 0.77, -2.34)","(0.85, -0.24, -0.47)","(-5.04, 1.71, -0.58)","(-5.06, 1.71, -0.64)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:07,14.84,True,False,"(-4.62, 1.35, -0.91)","(0.69, -0.56, -0.45)","(-5.01, 1.65, -0.61)","(-5.03, 1.65, -0.68)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:08,15.84,True,False,"(-1.67, 0.67, -2.66)","(0.82, -0.23, -0.52)","(-5.02, 1.72, -0.62)","(-5.05, 1.72, -0.67)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:09,16.85,True,False,"(-0.58, 1.19, -4.26)","(0.77, -0.10, -0.63)","(-5.04, 1.72, -0.62)","(-5.07, 1.73, -0.67)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:10,17.86,True,False,"(-2.37, 0.05, -0.60)","(0.83, -0.56, -0.01)","(-5.03, 1.70, -0.56)","(-5.02, 1.71, -0.62)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:11,18.86,True,False,"(-4.26, 1.17, -0.98)","(0.64, -0.50, -0.59)","(-4.97, 1.70, -0.46)","(-5.02, 1.70, -0.51)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:12,19.86,True,False,"(-4.57, 1.38, -0.92)","(0.73, -0.38, -0.57)","(-5.15, 1.71, -0.39)","(-5.18, 1.72, -0.45)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:13,20.87,True,False,"(-3.40, 1.13, -1.47)","(0.78, -0.29, -0.56)","(-5.08, 1.71, -0.40)","(-5.12, 1.72, -0.45)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:14,21.87,True,False,"(-4.65, 1.34, -0.91)","(0.58, -0.56, -0.59)","(-4.96, 1.70, -0.47)","(-5.01, 1.70, -0.52)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:15,22.87,True,False,"(-4.53, 1.42, -0.94)","(0.62, -0.43, -0.66)","(-4.84, 1.69, -0.58)","(-4.89, 1.69, -0.62)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:16,23.87,True,False,"(-2.58, 0.32, -3.93)","(0.55, -0.30, -0.78)","(-4.82, 1.71, -0.62)","(-4.87, 1.71, -0.67)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:17,24.88,True,False,"(-4.60, 1.40, -0.96)","(0.50, -0.54, -0.68)","(-4.89, 1.70, -0.51)","(-4.94, 1.71, -0.55)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:18,25.88,True,False,"(-4.54, 1.46, -0.95)","(0.64, -0.29, -0.71)","(-5.11, 1.74, -0.29)","(-5.16, 1.74, -0.33)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:19,26.88,True,False,"(-4.60, 1.30, -0.91)","(0.61, -0.35, -0.71)","(-5.11, 1.73, -0.28)","(-5.15, 1.73, -0.32)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:20,27.89,True,False,"(-1.22, 1.85, -4.26)","(0.65, -0.07, -0.76)","(-5.15, 1.74, -0.29)","(-5.20, 1.75, -0.34)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:21,28.89,True,False,"(-4.92, 0.88, -1.94)","(0.17, -0.48, -0.86)","(-5.26, 1.71, -0.44)","(-5.32, 1.72, -0.46)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:22,29.89,True,False,"(-3.83, 1.07, -4.01)","(0.37, -0.15, -0.92)","(-5.15, 1.73, -0.55)","(-5.21, 1.74, -0.58)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-13 11:27:23,30.89,True,False,"(-3.63, 1.47, -4.03)","(0.42, -0.09, -0.90)","(-5.20, 1.74, -0.60)","(-5.26, 1.75, -0.63)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-13 11:27:24,31.89,True,False,"(-3.94, 1.23, -4.00)","(0.37, -0.11, -0.92)","(-5.22, 1.74, -0.60)","(-5.27, 1.74, -0.63)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-13 11:27:25,32.90,True,False,"(-3.85, 0.83, -4.01)","(0.38, -0.23, -0.90)","(-5.22, 1.74, -0.60)","(-5.28, 1.74, -0.63)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-13 11:27:26,33.90,True,False,"(-3.81, 1.38, -4.00)","(0.39, -0.08, -0.92)","(-5.22, 1.74, -0.60)","(-5.28, 1.74, -0.63)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-13 11:27:27,34.90,True,False,"(-4.03, 2.12, -4.00)","(0.34, 0.11, -0.94)","(-5.23, 1.75, -0.60)","(-5.30, 1.76, -0.62)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:28,35.90,True,False,"(-4.38, 1.81, -4.26)","(0.25, 0.04, -0.97)","(-5.24, 1.75, -0.61)","(-5.30, 1.75, -0.63)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:29,36.90,True,False,"(-4.49, 2.13, -3.98)","(0.23, 0.12, -0.97)","(-5.24, 1.75, -0.60)","(-5.30, 1.75, -0.62)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:30,37.91,True,False,"(-4.44, 2.50, -4.26)","(0.25, 0.18, -0.95)","(-5.23, 1.75, -0.59)","(-5.29, 1.75, -0.62)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:31,38.91,True,False,"(-3.94, 1.10, -4.09)","(0.36, -0.29, -0.88)","(-5.22, 1.72, -0.55)","(-5.28, 1.73, -0.59)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:32,39.91,True,False,"(-3.81, 0.77, -4.03)","(0.38, -0.23, -0.90)","(-5.22, 1.73, -0.56)","(-5.28, 1.73, -0.59)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:33,40.91,True,False,"(-4.02, 1.16, -4.00)","(0.31, -0.21, -0.93)","(-5.22, 1.74, -0.60)","(-5.28, 1.74, -0.62)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:34,41.92,True,False,"(-3.54, 1.82, -4.11)","(0.44, 0.04, -0.90)","(-5.21, 1.74, -0.59)","(-5.27, 1.75, -0.62)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:35,42.91,False,False,"None","(0.34, 0.31, -0.89)","(-5.22, 1.76, -0.58)","(-5.28, 1.76, -0.60)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-13 11:27:36,43.45,True,False,"(-3.86, 3.03, -4.26)","(0.33, 0.30, -0.89)","(-5.23, 1.77, -0.54)","(-5.29, 1.78, -0.56)",Yellow,"(0.05, 0.05, 0.05)",3,0
2025-05-13 11:27:37,44.45,True,False,"(-3.96, 2.87, -4.00)","(0.34, 0.29, -0.90)","(-5.23, 1.77, -0.53)","(-5.29, 1.78, -0.55)",Yellow,"(0.05, 0.05, 0.05)",3,0
