Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-05-12 15:29:46,27.01,True,False,"(-1.54, 2.24, -4.05)","(0.65, 0.14, -0.75)","(-4.36, 1.64, -0.86)","(-4.41, 1.63, -0.90)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:47,28.01,True,False,"(-8.70, 2.31, -3.76)","(-0.84, 0.13, -0.52)","(-4.41, 1.64, -0.89)","(-4.45, 1.63, -0.84)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:48,29.01,True,False,"(-8.40, 2.14, -1.57)","(-0.97, 0.12, -0.20)","(-4.49, 1.64, -0.86)","(-4.51, 1.64, -0.80)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:49,30.01,True,False,"(-8.49, 2.31, -2.23)","(-0.94, 0.15, -0.32)","(-4.47, 1.64, -0.90)","(-4.50, 1.64, -0.85)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-12 15:29:50,31.02,True,False,"(-8.72, 2.52, -3.45)","(-0.76, 0.18, -0.63)","(-4.48, 1.64, -0.91)","(-4.52, 1.64, -0.86)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-12 15:29:51,32.03,True,False,"(-8.37, 1.68, -3.95)","(-0.73, -0.03, -0.68)","(-4.50, 1.63, -0.94)","(-4.54, 1.63, -0.89)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-12 15:29:52,33.05,True,False,"(-7.64, 1.34, -4.07)","(-0.72, -0.05, -0.69)","(-4.50, 1.63, -0.96)","(-4.54, 1.63, -0.92)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-12 15:29:53,34.05,True,False,"(-8.23, 1.31, -4.22)","(-0.75, -0.06, -0.66)","(-4.49, 1.63, -0.95)","(-4.54, 1.62, -0.91)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-12 15:29:54,35.05,True,False,"(-8.25, 1.33, -4.01)","(-0.77, -0.06, -0.63)","(-4.50, 1.63, -0.96)","(-4.55, 1.62, -0.91)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:55,36.05,True,False,"(-8.18, 1.37, -4.19)","(-0.74, -0.05, -0.67)","(-4.50, 1.63, -0.96)","(-4.54, 1.62, -0.91)",Yellow,"(0.05, 0.05, 0.05)",1,0
