Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-04-09 21:38:40,23.80,True,False,(-6.60, 1.50, -4.07),"(-0.61, 0.01, -0.79)","(-3.55, 1.43, -0.21)","(-3.61, 1.43, -0.17)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:41,24.80,True,False,(-8.53, 1.95, -3.12),"(-0.91, 0.07, -0.42)","(-3.57, 1.43, -0.22)","(-3.62, 1.43, -0.17)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:42,25.82,True,False,(-4.90, 0.96, -1.80),"(-0.19, -0.40, -0.90)","(-3.54, 1.41, -0.25)","(-3.60, 1.41, -0.22)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:43,26.82,True,False,(-3.39, 1.08, -0.83),"(0.19, -0.47, -0.86)","(-3.50, 1.39, -0.28)","(-3.56, 1.39, -0.28)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:44,27.83,True,False,(-6.56, 1.31, -4.26),"(-0.61, -0.03, -0.79)","(-3.54, 1.44, -0.25)","(-3.60, 1.43, -0.23)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:45,28.85,True,False,(-6.02, 1.32, -4.26),"(-0.40, 0.06, -0.92)","(-3.55, 1.44, -0.24)","(-3.61, 1.43, -0.22)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:46,29.86,True,False,(-4.60, 2.41, -4.26),"(-0.24, 0.23, -0.94)","(-3.55, 1.44, -0.24)","(-3.61, 1.43, -0.22)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:47,30.87,True,False,(-4.36, 1.77, -4.26),"(-0.19, 0.08, -0.98)","(-3.55, 1.44, -0.23)","(-3.61, 1.43, -0.21)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:48,31.87,True,False,(-5.11, 1.02, -4.25),"(-0.35, -0.10, -0.93)","(-3.56, 1.44, -0.22)","(-3.62, 1.43, -0.19)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:49,32.89,True,False,(-5.23, 0.67, -4.03),"(-0.39, -0.17, -0.90)","(-3.55, 1.43, -0.22)","(-3.61, 1.43, -0.19)",Blue,"(0.05, 0.05, 0.05)",3,0
