ID,TIMESTAMP,CONDITION,TRIAL,Q1ANS,Q2ANS,P1SCORE,P2SCORE,GAZE_FOCUS,BrowLowererL,BrowLowererR,CheekPuffL,CheekPuffR,CheekRaiserL,CheekRaiserR,CheekSuckL,CheekSuckR,ChinRaiserB,ChinRaiserT,DimplerL,DimplerR,EyesClosedL,EyesClosedR,EyesLookDownL,EyesLookDownR,EyesLookLeftL,EyesLookLeftR,EyesLookRightL,EyesLookRightR,EyesLookUpL,EyesLookUpR,InnerBrowRaiserL,InnerBrowRaiserR,JawDrop,JawSidewaysLeft,JawSidewaysRight,JawThrust,LidTightenerL,LidTightenerR,LipCornerDepressorL,LipCornerDepressorR,LipCornerPullerL,LipCornerPullerR,LipFunnelerLB,LipFunnelerLT,LipFunnelerRB,LipFunnelerRT,LipPressorL,LipPressorR,LipPuckerL,LipPuckerR,LipStretcherL,LipStretcherR,LipSuckLB,LipSuckLT,LipSuckRB,LipSuckRT,LipTightenerL,LipTightenerR,LipsToward,LowerLipDepressorL,LowerLipDepressorR,MouthLeft,MouthRight,NoseWrinklerL,NoseWrinklerR,OuterBrowRaiserL,OuterBrowRaiserR,UpperLidRaiserL,UpperLidRaiserR,UpperLipRaiserL,UpperLipRaiserR,Max,Invalid,HeartRate,GSR,GSR_CONDUCTANCE
t,2024-01-03-10-37:29:9019,1,4,3,3,82,67,Untagged,8.865452E-06,2.673522E-06,0,1.401298E-45,0.09585447,0.07346841,0,0,1.401298E-45,0.09235812,0.1745407,0.1736773,0.0005554045,0,0.0005554048,2.910858E-10,0,0,0.2899179,0.2041811,0,0,1.035871E-05,7.720162E-06,0.1706384,1.401298E-45,1.401298E-45,3.853205E-19,0.2408319,0.1662445,0.003257816,2.731092E-21,0.05486467,0.05460006,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02753568,0.02753486,0.1334348,0.0389867,0.1043816,0.02726453,1.401298E-45,1.401298E-45,0.01486607,0.0271645,0.02734639,1.185468E-27,0,2.011941E-06,1.369485E-20,1.997791E-10,0.009149107,6.851928E-19,1.401298E-45,0.233438,0.2972592,_,_,0,_,_
t,2024-01-03-10-37:29:9367,1,4,3,3,82,67,TaskCube,7.329788E-06,2.210502E-06,0,1.401298E-45,0.09885029,0.07424076,0,0,1.401298E-45,0.09235808,0.1709201,0.170677,0.0003825406,0,0.0003825408,2.039211E-10,0,0,0.2868563,0.2010011,0,0,8.564212E-06,6.382886E-06,0.1694594,1.401298E-45,1.401298E-45,2.715648E-19,0.2789985,0.1311542,0.001730421,1.924809E-21,0.05461807,0.05448723,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02741214,0.02741155,0.1242274,0.03851989,0.1038361,0.02723009,1.401298E-45,1.401298E-45,0.01440575,0.02716439,0.02728853,8.354896E-28,0,1.412509E-06,9.651808E-21,1.651825E-10,0.01034551,4.829077E-19,1.401298E-45,0.2334915,0.2978192,_,_,0,_,_
t,2024-01-03-10-37:30:0202,1,4,3,3,82,67,TaskCube,4.142708E-06,1.249449E-06,0,1.401298E-45,0.1182922,0.08567945,0,0,1.401298E-45,0.07872693,0.1700663,0.1702445,0.0001276556,0,0.0001276556,7.050063E-11,0,0,0.223416,0.1354153,0,0,4.840188E-06,3.607533E-06,0.154712,1.401298E-45,1.401298E-45,9.506643E-20,0.2857212,0.1188197,0.009132651,6.738161E-22,0.05965137,0.05436564,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02724161,0.02724141,0.1217916,0.04040393,0.09428125,0.02068215,1.401298E-45,1.401298E-45,0.01533866,0.02716421,0.02720485,2.92479E-28,0,4.905297E-07,3.378799E-21,9.336961E-11,0.009219968,1.69051E-19,1.401298E-45,0.233571,0.3125243,_,_,0,_,_
t,2024-01-03-10-37:30:0530,1,4,3,3,82,67,TaskCube,4.142708E-06,1.249449E-06,0,1.401298E-45,0.1182922,0.08567945,0,0,1.401298E-45,0.07872693,0.1700663,0.1702445,0.0001276556,0,0.0001276556,7.050063E-11,0,0,0.223416,0.1354153,0,0,4.840188E-06,3.607533E-06,0.154712,1.401298E-45,1.401298E-45,9.506643E-20,0.2857212,0.1188197,0.009132651,6.738161E-22,0.05965137,0.05436564,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02724161,0.02724141,0.1217916,0.04040393,0.09428125,0.02068215,1.401298E-45,1.401298E-45,0.01533866,0.02716421,0.02720485,2.92479E-28,0,4.905297E-07,3.378799E-21,9.336961E-11,0.009219968,1.69051E-19,1.401298E-45,0.233571,0.3125243,_,_,0,_,_
t,2024-01-03-10-37:30:0949,1,4,3,3,82,67,TaskCube,0.007925431,8.541657E-07,0,1.401298E-45,0.1288736,0.0910849,0,0,1.401298E-45,0.0766425,0.1762856,0.1727869,0.001799467,0,0.001799467,3.483902E-11,0,0,0.2221308,0.1344339,0,0,3.308752E-06,2.466152E-06,0.1321013,1.401298E-45,1.401298E-45,4.722071E-20,0.3061649,0.1196411,0.007268945,3.346931E-22,0.06799457,0.05768553,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02720083,0.02720073,0.1218704,0.05122521,0.09279443,0.03452952,1.401298E-45,1.401298E-45,0.01432844,0.02716416,0.0271838,1.452781E-28,0,0.008442307,1.678293E-21,6.383148E-11,0.008028897,8.396981E-20,1.401298E-45,0.2511168,0.3145713,_,_,0,_,_
t,2024-01-03-10-37:30:1288,1,4,3,3,82,67,TaskCube,0.007764891,7.062466E-07,0,1.401298E-45,0.1297759,0.09174364,0,0,1.401298E-45,0.07635716,0.1802193,0.1788187,0.001214894,0,0.001214894,2.450676E-11,0,0,0.2260882,0.1387949,0,0,2.735712E-06,2.039054E-06,0.1088828,1.401298E-45,1.401298E-45,3.328037E-20,0.2922477,0.1290562,0.008721795,2.358861E-22,0.07266187,0.06141026,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02718954,0.02718947,0.1206014,0.06004243,0.09258426,0.04809594,1.401298E-45,1.401298E-45,0.01407795,0.02716414,0.02717784,1.023896E-28,0,0.009618092,1.182833E-21,5.277781E-11,0.006285642,5.918052E-20,1.401298E-45,0.2573943,0.3148381,_,_,0,_,_
t,2024-01-03-10-37:30:1879,1,4,3,3,82,67,TaskCube,0.007635943,5.839411E-07,0,1.401298E-45,0.1262529,0.09204441,0,0,1.401298E-45,0.07621908,0.182212,0.1816416,0.00241874,0,0.00241874,1.724436E-11,0,0,0.228488,0.1412105,0,0,2.261915E-06,1.68592E-06,0.1044911,1.401298E-45,1.401298E-45,2.345527E-20,0.29276,0.1734835,0.00955272,1.662473E-22,0.07452098,0.0705419,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02718177,0.02718172,0.1200499,0.06312317,0.09248092,0.05215852,1.401298E-45,1.401298E-45,0.01616412,0.02716413,0.0271737,7.216189E-29,0,0.01019196,8.336342E-22,4.363809E-11,0.00813007,4.170912E-20,1.401298E-45,0.2594789,0.3149642,_,_,0,_,_
t,2024-01-03-10-37:30:2341,1,4,3,3,82,67,TaskCube,0.01641763,3.992037E-07,0,1.401298E-45,0.1295323,0.1014725,0,0,1.401298E-45,0.06958897,0.183853,0.1837625,0.0373344,0,0.03732891,8.544886E-12,0,0,0.2291841,0.1423223,0,0,1.546293E-06,1.15254E-06,0.07962823,1.401298E-45,1.401298E-45,1.165048E-20,0.3179294,0.1838363,0.01034,8.257676E-23,0.07568033,0.06715738,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02717269,0.02717266,0.1196697,0.07454707,0.08178288,0.05398506,1.401298E-45,1.401298E-45,0.01797416,0.02716412,0.02716881,3.584357E-29,0,0.005544293,4.140748E-22,2.98328E-11,0.007409797,2.071736E-20,1.401298E-45,0.2720986,0.3216251,_,_,0,_,_
t,2024-01-03-10-37:30:2735,1,4,3,3,82,67,TaskCube,0.02339586,3.300712E-07,0,1.401298E-45,0.141251,0.1024452,0,0,1.401298E-45,0.06709933,0.1841872,0.1841555,0.02260958,0,0.02260884,6.016822E-12,0,0,0.2583469,0.1716916,0,0,0.001075774,9.529423E-07,0.08868568,1.401298E-45,1.401298E-45,8.210987E-21,0.3338376,0.2228642,0.01052429,5.81982E-23,0.07585621,0.07228857,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02717011,0.02717009,0.1196054,0.07546603,0.07825212,0.05417506,1.401298E-45,1.401298E-45,0.0183627,0.02716412,0.02716741,2.526172E-29,0,0.007903893,2.918304E-22,2.466653E-11,0.005821294,1.460112E-20,1.401298E-45,0.2754394,0.3241035,_,_,0,_,_
t,2024-01-03-10-37:30:3018,1,4,3,3,71,78,TaskCube,0.01973427,2.729121E-07,0,1.401298E-45,0.1530533,0.102854,0,0,1.401298E-45,0.06607896,0.1843844,0.1843767,0.01111781,0,0.01111777,4.237395E-12,0,0,0.2587482,0.1720441,0,0,0.001912689,7.879156E-07,0.06986146,1.401298E-45,1.401298E-45,5.786956E-21,0.3372495,0.1632283,0.0106409,4.101705E-23,0.07594579,0.07434357,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02716831,0.02716829,0.1089434,0.08753928,0.0769716,0.06135009,1.401298E-45,1.401298E-45,0.01859818,0.02716411,0.02716642,1.780401E-29,0,0.009154883,2.056768E-22,2.039502E-11,0.007786179,1.029061E-20,1.401298E-45,0.2764823,0.3251098,_,_,0,_,_
t,2024-01-03-10-37:30:3545,1,4,3,3,71,78,TaskCube,0.01286402,1.865752E-07,0,1.401298E-45,0.1833576,0.1259072,0,0,1.401298E-45,0.06542136,0.1907815,0.1908621,4.656613E-10,0.00909303,0.003136748,0.01222975,0,0.0280683,0.06503122,0,0,0,0.00128086,0.001075062,0.07291756,1.401298E-45,1.401298E-45,2.874488E-21,0.3432163,0.08011973,0.01076501,2.037392E-23,0.09018385,0.08683905,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02716617,0.02716617,0.1066989,0.09181935,0.0762547,0.06458382,1.401298E-45,1.401298E-45,0.0188367,0.04769677,0.03305411,8.84358E-30,0,0.01024078,1.021635E-22,1.3943E-11,0.01040997,5.111534E-21,1.401298E-45,0.2748883,0.3368492,_,_,0,_,_
t,2024-01-03-10-37:30:3923,1,4,3,3,71,78,TaskArea_Put,0.009879385,1.542652E-07,0,1.401298E-45,0.1843745,0.1290008,0,0,1.401298E-45,0.06531792,0.193353,0.1890441,2.328306E-10,0.008610634,0.003483658,0.01209427,0,0.0280683,0.06503122,0,0,0,0.00105088,0.0008833914,0.05858854,1.401298E-45,1.401298E-45,2.025876E-21,0.3265294,0.07655624,0.01079744,1.43591E-23,0.0914579,0.08255534,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02716556,0.02716555,0.1046711,0.09215068,0.0761583,0.06492119,1.401298E-45,1.401298E-45,0.01795925,0.04357095,0.03560387,6.232761E-30,0,0.010474,7.200258E-23,1.152845E-11,0.01129307,3.602497E-21,1.401298E-45,0.2761413,0.3403305,_,_,0,_,_
t,2024-01-03-10-37:30:4379,1,4,3,3,71,78,TaskArea_Put,0.007681893,1.275504E-07,0,1.401298E-45,0.1751148,0.1239341,0,0,1.401298E-45,0.06526428,0.1901836,0.1877643,4.656613E-10,0.002925513,0.00371713,0.006642641,0,0,0.1040298,0.01135915,0,0,0.0008633455,0.0007266716,0.0554338,1.401298E-45,1.401298E-45,1.427792E-21,0.318982,0.06067776,0.01081911,1.011997E-23,0.09195668,0.08007473,0,1.401298E-45,0,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.02716513,0.02716512,0.09646334,0.09227139,0.06933488,0.07217047,1.401298E-45,1.401298E-45,0.01739877,0.05054163,0.03678032,4.39271E-30,0,0.01061537,5.074581E-23,9.532027E-12,0.01198508,2.538959E-21,1.401298E-45,0.2766468,0.3415106,_,_,0,_,_
