ID,TIMESTAMP,CONDITION,TRIAL,Q1ANS,Q2ANS,P1SCORE,P2SCORE,GAZE_FOCUS,BrowLowererL,BrowLowererR,CheekPuffL,CheekPuffR,CheekRaiserL,CheekRaiserR,CheekSuckL,CheekSuckR,ChinRaiserB,ChinRaiserT,DimplerL,DimplerR,EyesClosedL,EyesClosedR,EyesLookDownL,EyesLookDownR,EyesLookLeftL,EyesLookLeftR,EyesLookRightL,EyesLookRightR,EyesLookUpL,EyesLookUpR,InnerBrowRaiserL,InnerBrowRaiserR,JawDrop,JawSidewaysLeft,JawSidewaysRight,JawThrust,LidTightenerL,LidTightenerR,LipCornerDepressorL,LipCornerDepressorR,LipCornerPullerL,LipCornerPullerR,LipFunnelerLB,LipFunnelerLT,LipFunnelerRB,LipFunnelerRT,LipPressorL,LipPressorR,LipPuckerL,LipPuckerR,LipStretcherL,LipStretcherR,LipSuckLB,LipSuckLT,LipSuckRB,LipSuckRT,LipTightenerL,LipTightenerR,LipsToward,LowerLipDepressorL,LowerLipDepressorR,MouthLeft,MouthRight,NoseWrinklerL,NoseWrinklerR,OuterBrowRaiserL,OuterBrowRaiserR,UpperLidRaiserL,UpperLidRaiserR,UpperLipRaiserL,UpperLipRaiserR,Max,Invalid,HeartRate,GSR,GSR_CONDUCTANCE
t,2024-19-02-14-19:26:2543,1,-1,-1,-1,71,71,TaskSelf_ETC,0.009185906,0.0036274,0,0,0.2705774,0.2851497,0,0,0.001249674,0.03145936,0.02726768,0.03806613,0.0654432,0.000199832,0.1732095,0.1090929,0,0,0.2322472,0.1412737,0,0,4.615066E-06,1.84113E-06,0.01086552,0,1.486465E-08,0.007224549,0.1941826,0.4749516,0.01086564,0.0002746233,0.2912482,0.3155652,0,1.432688E-41,0,0,5.165885E-19,5.165885E-19,2.367094E-08,2.367133E-08,0.01683729,0.01585027,0.07575523,0.1261494,0.05410399,0.104,0,0,0.01901488,1.601388E-16,1.093938E-16,0.01086364,9.536984E-38,0.0001644629,0.0001629941,0,2.913649E-24,0,0,0.1709762,0.1666602,_,_,0,_,_
t,2024-19-02-14-19:26:3180,1,-1,-1,-1,71,71,TaskSelf_Hand,0.00640916,0.003399544,0,0,0.2689708,0.2901858,0,0,0.003626057,0.03121323,0.02721202,0.03804686,0.101894,6.948411E-05,0.1844136,0.08421697,0,0,0.2329358,0.1418135,0,0,3.154803E-06,1.258634E-06,0.01086558,0,7.375482E-09,0.009572072,0.1492058,0.4867066,0.01086564,0.0001270834,0.2831871,0.2982256,0,7.117195E-42,0,0,2.56594E-19,2.56594E-19,1.175441E-08,1.175461E-08,0.02411069,0.02437549,0.07591923,0.1392691,0.04471337,0.1126518,0,0,0.01901488,7.95423E-17,5.433683E-17,0.01086465,4.737103E-38,7.715338E-05,7.846786E-05,0,1.991886E-24,0,0,0.1779771,0.163006,_,_,0,_,_
t,2024-19-02-14-19:26:3572,1,-1,-1,-1,71,71,TaskSelf_Hand,0.006322471,0.002692308,0,0,0.2717819,0.2945157,0,0,0.007183202,0.03436426,0.02719698,0.03804157,0.09249742,6.67572E-05,0.1751042,0.08393794,0,0,0.2146749,0.123111,0,0,2.608404E-06,1.040662E-06,0.0108656,0,5.195996E-09,0.004801637,0.213092,0.4907771,0.01086564,8.721311E-05,0.2801003,0.2984596,0,5.016649E-42,0,0,1.80842E-19,1.80842E-19,8.283431E-09,8.283568E-09,0.02540285,0.02566892,0.07596338,0.1359356,0.04882075,0.108356,0,0,0.01901488,5.605972E-17,3.829544E-17,0.01086495,3.33861E-38,5.322152E-05,5.465775E-05,0,1.646946E-24,0,0,0.1814983,0.1655022,_,_,0,_,_
t,2024-19-02-14-19:26:3974,1,-1,-1,-1,71,71,TaskSelf_Hand,0.004854681,0.003748741,0,0,0.2973107,0.2982436,0,0,0.002464002,0.0318354,0.02717979,0.03803544,0.07766989,0.0001947433,0.1861013,0.1100995,0,0,0.1204818,0.02820351,0,0,1.783146E-06,7.114322E-07,0.01086562,0,2.579366E-09,0.008734026,0.1789672,0.4921701,0.01086564,4.160766E-05,0.2838127,0.2957819,0,2.491509E-42,0,0,8.982701E-20,8.982701E-20,4.113884E-09,4.113952E-09,0.02652221,0.02667897,0.07019416,0.1447106,0.05234299,0.1171174,0,0,0.01901488,2.784572E-17,1.902193E-17,0.0108653,1.658339E-38,2.559061E-05,2.667202E-05,0,1.125927E-24,0,0,0.1838507,0.1648999,_,_,0,_,_
t,2024-19-02-14-19:26:4668,1,-1,-1,-1,71,71,TaskSelf_Hand,0.003014201,0.003528125,0,0,0.2911622,0.2986096,0,0,0.006206539,0.02865284,0.02717168,0.03803252,0.06019987,0.0002028123,0.1709362,0.1118788,0,0.01571929,0.0769783,0,0,0,1.219002E-06,4.863614E-07,0.01086563,0,1.280677E-09,0.007099415,0.1909422,0.4923099,0.01086564,2.010328E-05,0.2931264,0.3168685,0,1.237347E-42,0,0,4.461839E-20,4.461839E-20,2.043215E-09,2.043248E-09,0.02690741,0.02698572,0.07365312,0.1345932,0.05354056,0.1103513,0,0,0.01901488,1.383138E-17,9.448471E-18,0.004969647,8.237211E-39,1.243121E-05,1.308848E-05,0,7.697335E-25,0,0,0.171845,0.1598346,_,_,0,_,_
t,2024-19-02-14-19:26:5140,1,-1,-1,-1,71,71,TaskSelf_Hand,0.002403482,0.002824707,0,0,0.245015,0.2603366,0,0,0.00365154,0.02804871,0.02716939,0.03803169,0.4072632,0.6785179,0.4217845,0.1944654,0,0.01661284,0.07635438,0,0,0,1.007895E-06,4.021358E-07,0.01086564,0,9.024565E-10,0.008605029,0.01302988,0.1982522,0.01086564,1.402223E-05,0.2704891,0.2887431,0,8.716076E-43,0,0,3.144618E-20,3.144618E-20,1.439963E-09,1.439986E-09,0.01741346,0.02705201,0.0692593,0.1328067,0.04437298,0.1067967,0,0,0.01901488,9.748086E-18,6.659099E-18,0.007068616,5.805427E-39,8.688445E-06,9.182647E-06,0,6.364376E-25,0,0,0.1539098,0.1385196,_,_,0,_,_
t,2024-19-02-14-19:26:5531,1,-1,-1,-1,71,71,TaskSelf_Hand,0.002680002,0.02016503,0,0,0.2342733,0.2527533,0,0,0.004114744,0.02750193,0.02716669,0.0380307,0.9997462,0.9998647,0.0002666581,8.236866E-05,0,0.03438099,0.05818539,0,0,0,6.89029E-07,2.749157E-07,0.01086564,0,4.481568E-10,0.009988562,0.0001006958,0.01219436,0.01086564,6.856644E-06,0.2289221,0.2564973,0,4.330012E-43,0,0,1.561973E-20,1.561973E-20,7.152063E-10,7.15218E-10,0.012223,0.0138219,0.05922749,0.1246358,0.03934894,0.0972982,0,0,0.01901488,4.842001E-18,3.307661E-18,0.009222173,2.883631E-39,4.261533E-06,4.529898E-06,0,4.350963E-25,0,0,0.1318411,0.1208535,_,_,0,_,_
t,2024-19-02-14-19:26:6225,1,-1,-1,-1,71,71,TaskSelf_Hand,0.05385394,0.07076267,0,0,0.269336,0.2736304,0,0,0.004140988,0.02730379,0.02716538,0.03803022,0.08767137,0.06327417,0.4101136,0.4005408,0,0,0.12279,0.02986344,0,0,4.710416E-07,1.879422E-07,0.007065708,0,0.00380001,0.01049889,0.04387094,0.3804482,0.01086564,3.36938E-06,0.2573378,0.2824091,0,2.158E-43,0,0,7.758436E-21,7.758436E-21,3.552341E-10,3.552399E-10,0.01122239,0.01506994,0.06297272,0.1247171,0.03837733,0.1112419,0,0,0.01901488,2.405058E-18,1.64294E-18,0.0101234,1.432322E-39,2.09853E-06,2.23948E-06,0,2.974487E-25,0,0,0.1460381,0.1360265,_,_,0,_,_
t,2024-19-02-14-19:26:6637,1,-1,-1,-1,71,71,TaskSelf_Hand,0.04115358,0.05021124,0,0,0.2734212,0.2809896,0,0,0.002417881,0.02725595,0.027165,0.03803008,0.1165717,0.00163947,0.2928474,0.1876099,0,0,0.1436655,0.05081366,0,0,3.894694E-07,1.553959E-07,0.00838042,0,0.002485297,0.01062347,0.1486645,0.5287406,0.01086564,0.005886663,0.2589934,0.2843615,0,1.527415E-43,0,0,5.468005E-21,5.468005E-21,2.503588E-10,2.503629E-10,0.01982831,0.02091203,0.06958905,0.1265981,0.04699431,0.1158262,0,0,0.01901488,1.695041E-18,1.157914E-18,0.01036093,1.009474E-39,1.47423E-06,1.57557E-06,0,2.459393E-25,0,0,0.1734302,0.1481543,_,_,0,_,_
t,2024-19-02-14-19:26:7030,1,-1,-1,-1,71,71,TaskSelf_Hand,0.04398388,0.05999623,0,0,0.275245,0.292247,0,0,0.001454987,0.0272252,0.02716473,0.03802999,0.1125525,0.0002224296,0.2240189,0.1149561,0,0,0.1434159,0.05063865,0,0,3.220228E-07,1.284854E-07,0.009219742,0,0.001645964,0.01070396,0.1633997,0.5118545,0.01086564,0.003781531,0.2780207,0.2918696,0,1.079E-43,0,0,3.853733E-21,3.853733E-21,1.764454E-10,1.764483E-10,0.0235726,0.02377573,0.07268599,0.1278323,0.04263537,0.1098834,0,0,0.01901488,1.194629E-18,8.160733E-19,0.01052035,7.11456E-40,1.036231E-06,1.108813E-06,0,2.033493E-25,0,0,0.1710192,0.1476872,_,_,0,_,_
